mallId,name,street,postalCode,website,lat,lng,tel,description,numOfLikes
313@Somerset,313@Somerset,"313-321 Orchard Rd.",238895,http://www.313somerset.com.sg,1.3013388292213,103.83859992027,+6564969313,"Fast becoming one of the most popular shopping destinations in the Orchard Road belt, 313@somerset is situated right above the Somerset MRT station and boasts well-known fashion brands as well as great dining options.",138238
AMK,"AMK Hub","53 Ang Mo Kio Ave 3",569933,http://www.amkhub.com.sg,1.3692062748577,103.84862078321,+6567539000,"AMK Hub is a bustling shopping paradise which brings together the best in retail, entertainment, learning and community services.",131600
ARC,"Alexandra Retail Centre","460 Alexandra Rd",119963,http://www.arc4u.com.sg/,1.2736654208075,103.80157470703,+6563769179,,6501
ASC,"Anchorpoint Shopping Centre","370 Alexandra Rd",159953,http://www.fraserscentrepointmalls.com/malls/ap/index.asp,1.2887980439235,103.80524282914,+6564752257,,18331
BJ,"Bugis Junction","200 Victoria St.",188021,http://www.bugisjunction-mall.com.sg,1.2991292580675,103.85539054871,+6565576557,"Bugis Junction has a mixture of shopping options to enthral even the most seasoned of shoppers. Part traditional mall, part open-air shopping district, Bugis Junction is one of the few malls in Singapore that has sidewalk cafes and shophouses sitting alongside gleaming new retail palaces.",157654
BP,"Bedok Point","799 New Upper Changi Rd",467351,http://www.fraserscentrepointmalls.com/malls/bp/,1.3247108243444,103.93243968487,+6564811353,,29055
BPP,"Bukit Panjang Plaza","1 Jelebu Rd.",677743,http://www.bukitpanjangplaza.com.sg,1.3800025668472,103.76421689987,+6563146388,,54531
Bugis,Bugis+,"201 Victoria St.",188067,http://www.bugis-plus.com.sg,1.2996655619233,103.85444641113,+6566346810,"Formerly known as iluma.",50601
CCP,"Changi City Point","5 Changi Business Park Central 1",486038,http://www.fraserscentrepointmalls.com/malls/ccp/index.asp,1.3345197031477,103.96239995956,+6565111088,"Changi City Point is located in the heart of Changi Business Park, directly opposite the Singapore Expo MRT. Changi City Point offers a refreshingly landscaped rooftop garden & interactive art installations, “The Arena @ L3” - an outdoor amphitheatre, playground & a tree-house trail for children.",28954
Cineleisure,"Cineleisure Orchard","8 Grange Rd.",239695,http://www.cineleisure.com.sg,1.3012530206689,103.83702278137,+6567387477,,135725
CityLink,"CityLink Mall","1 Raffles Link",039393,http://www.citylinkmall.com,1.2923959771724,103.85448655548,,,23301
Compass,"Compass Point","1 Sengkang Square",545078,http://www.fraserscentrepointmalls.com,1.3920797015748,103.89502286911,+6568812707,,100278
CP,"Causeway Point","1 Woodlands Sq",738099,http://www.fraserscentrepointmalls.com/malls/cwp/index.asp,1.436236865133,103.78626465797,+6568942237,,92146
CS,"Century Square","2 Tampines Central 5",529509,http://www.centurysquare.com.sg,1.3526688685857,103.94406354182,+6567896261,"With an extensive selection of the latest fashion collections and beauty treats, Century Square is THE place at Tampines to attend to all your retail therapy.

Indulge yourself in a pampering shopping experience at Century Square today.",34025
CSC,"China Square Central","18 Cross St.",048423,http://www.chinasquarecentral.com/,1.2836274207868,103.84679209655,,,6793
CSM,"City Square Mall","180 Kitchener Rd.",208539,http://www.citysquaremall.com.sg,1.3112946740591,103.85649630627,+6565956565,"Singapore’s First Eco-Mall, City Square Mall, sits on the site of Singapore's historic New World Park. With over 700,000 sq ft of gross retail space, spread over five retail levels, two basements & four levels of lifestyle services, it is home to about 200 tenants.",46034
DE,"Downtown East","1 Pasir Ris Cl.",519599,http://www.downtowneast.com.sg,1.3759053366666,103.9555978775,+6565891688,"A five-storey leisure and entertainment hub.",51999
Delfi,"Delfi Orchard","402 Orchard Rd.",238876,,1.3067759710975,103.82844997703,,,1772
Esplanade,"Esplanade Mall","1 Esplanade Drive",038981,http://www.esplanade.com/eat_drink_shop/index.jsp,1.2897546483221,103.85607719421,+6568288377,"The 8,000 sqm Esplanade Mall offers an exciting mix of retail, lifestyle & entertainment outlets over 3 levels. The mall provides a unique shopping experience to complement your visit to the arts centre.",4482
FEP,"Far East Plaza","14 Scotts Rd",228213,http://www.fareast-plaza.com,1.3071738039252,103.83313894272,,,88701
fesc,"Far East Shopping Centre","545 Orchard Rd",238882,,1.3056781385044,103.8303010599,,,5771
FTSM,"Forum The Shopping Mall","583 Orchard Rd.",238884,http://forumtheshoppingmall.com.sg,1.3064048261334,103.82872735481,,,8776
Funan,"Funan DigitaLife Mall","109 North Bridge Road",179097,http://www.funan.com.sg,1.2914708266089,103.84985983372,+6563368327,"Funan DigitaLife Mall, Asia's leading IT shopping mall, is the one-stop haven that offers the latest, most innovative, and widest range of genuine and value-for-money IT and electronic gadgets.",38041
gwcity,"Great World City","1 Kim Seng Promenade",237994,http://www.greatworldcity.com.sg,1.2935032930612,103.83182383509,+6567373855,"Great World City at the fringe of Orchard Road and bounded by Kim Seng, River Valley and Zion Roads and Kim Seng Promenade is a mixed-use development. The whole development comprises of retail, office and serviced apartments.",34150
HarbourFront,"HarbourFront Centre","1 Maritime Sq.",099253,http://www.mapletree.com.sg/harbour_front_centre_page.aspx?pageid=266,1.2648270289981,103.82014095783,+6563776311,"HarbourFront Centre is a shopping mall in the heart of the 24-ha HarbourFront Precinct, an area bursting with vitality. Its three-storey retail podium offers a wide array of fashion, food and beverage, electronic goods, sporting equipment and more, serving tourists and shoppers of all ages.",42920
Hougang,"Hougang Mall","90 Hougang Ave. 10",538766,http://www.hougangmall.com.sg,1.3724945480588,103.89371395111,+6564874155,,52255
IMM,IMM,"2 Jurong East St 21",609601,http://www.imm.sg,1.3353511160752,103.74676720809,+6566658268,,63900
ION,"ION Orchard","2 Orchard Turn",238801,http://www.ionorchard.com,1.3047833261435,103.83193771665,+6562388228,"ION Orchard brings together the world’s best-loved brands in flagship, concept and lifestyle stores. Spread over eight levels of shopping space, you can indulge in over 330 retail, F&B and lifestyle stores, which include the 6 duplex flagships.",239448
JCube,JCube,"2 Jurong East Central 1",609731,http://www.jcube.com.sg,1.3335597325869,103.74050617218,+6566842153,NULL,32912
Jem,Jem,"50 Jurong Gateway Rd",608549,http://www.jem.sg,1.3332594065245,103.74308109283,+6566729500,,6350
JP,"Jurong Point","1 Jurong West Central 2",648886,http://www.jurongpoint.com.sg,1.3398129419059,103.70642066002,+6567925662,"Jurong Point Shopping Centre (Jurong Point) is a leading suburban retail mall situate in the western part of Singapore.  It currently has a tenanted area of about 750,000 square feet, housing more than 450 retailers, showcasing their products and services to targeted 5.0 million visitors a month.",177205
Junction8,"Junction 8","9 Bishan Pl.",579837,http://www.junction8.com.sg,1.3505012806982,103.84837388992,+6563542955,,88491
Katong,"112 Katong","112 East Coast Rd",428802,http://112katong.com.sg,1.3056181037669,103.90498241116,+6566026800,,22617
